"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"115","Darrynton Evans (BUF)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","9.7","3.2","0.0%"
"116","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","9.5","0.7","1.0%"
"117","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","9.0","0.7","0.1%"
"118","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","8.8","2.9","0.0%"
"119","Jordan Wilkins (CLE)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","8.7","2.2","0.0%"
"120","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","8.4","8.4","0.1%"
"121","Jaret Patterson (WAS)","17","78","4.6","14","0","0","0","1","0","0","0","0","2","7.8","3.9","0.0%"
"122","Ty Montgomery (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","7.3","7.3","1.0%"
"123","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","7.2","0.8","0.4%"
"124","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","10.3%"
"125","Trayveon Williams (CIN)","6","30","5.0","16","0","0","2","3","30","15.0","0","0","9","6.0","0.7","0.7%"
"126","Tony Jones Jr. (DEN)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","5.4","1.8","0.3%"
"127","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","5.4","1.1","1.5%"
"128","Myles Gaskin (MIA)","10","26","2.6","10","0","0","4","6","28","7.0","0","0","2","5.4","2.7","0.1%"
"129","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","5.3","0.9","0.1%"
"130","Spencer Brown (CAR)","9","43","4.8","7","0","0","2","4","10","5.0","0","0","2","5.3","2.7","0.0%"
"131","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","5.1","1.3","0.0%"
"132","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","5.0","2.5","0.0%"
"133","Patrick Taylor Jr. (GB)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","4.8","0.7","0.1%"
"134","Dwayne Washington (FA)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","4.5","0.6","0.0%"
"135","Trestan Ebner (CHI)","24","54","2.3","11","0","0","2","8","8","4.0","0","1","11","4.2","0.4","0.0%"
"136","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","4.1","4.1","0.1%"
"137","Larry Rountree III (FA)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","3.3","1.1","0.0%"
"138","Jonathan Ward (TEN)","5","25","5.0","12","0","0","2","3","7","3.5","0","0","4","3.2","0.8","0.0%"
"139","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","2.7","0.7","0.0%"
"140","D'Ernest Johnson (JAC)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","2.4","0.2","0.6%"
"141","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","2.2","0.4","1.0%"
"142","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","2.1%"
"143","Trey Sermon (PHI)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"144","Adam Prentice (NO)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","1.8","0.3","0.0%"
